date_dec,ndec,ADEC,MDEC,md_dec,ndec_fem,ndec_hom,periode,weekday_dec,weekend
2016-08-28,10.6129032258065,2016,8,08-28,2.96774193548387,7.64516129032258,3,Sun,1
2016-08-29,10.6129032258065,2016,8,08-29,2.96774193548387,7.64516129032258,3,Mon,0
2016-08-30,10.6129032258065,2016,8,08-30,2.96774193548387,7.64516129032258,3,Tue,0
2016-08-31,10.6129032258065,2016,8,08-31,2.96774193548387,7.64516129032258,3,Wed,0
2016-09-01,10.2333333333333,2016,9,09-01,3.06666666666667,7.16666666666667,3,Thu,0
2016-09-02,10.2333333333333,2016,9,09-02,3.06666666666667,7.16666666666667,3,Fri,0
2016-09-03,10.2333333333333,2016,9,09-03,3.06666666666667,7.16666666666667,3,Sat,1
2016-09-04,10.2333333333333,2016,9,09-04,3.06666666666667,7.16666666666667,3,Sun,1
2016-09-05,10.2333333333333,2016,9,09-05,3.06666666666667,7.16666666666667,3,Mon,0
2016-09-06,10.2333333333333,2016,9,09-06,3.06666666666667,7.16666666666667,3,Tue,0
2016-09-07,10.2333333333333,2016,9,09-07,3.06666666666667,7.16666666666667,3,Wed,0
2016-09-08,10.2333333333333,2016,9,09-08,3.06666666666667,7.16666666666667,3,Thu,0
2016-09-09,10.2333333333333,2016,9,09-09,3.06666666666667,7.16666666666667,3,Fri,0
2016-09-10,10.2333333333333,2016,9,09-10,3.06666666666667,7.16666666666667,3,Sat,1
2016-09-11,10.2333333333333,2016,9,09-11,3.06666666666667,7.16666666666667,3,Sun,1
2016-09-12,10.2333333333333,2016,9,09-12,3.06666666666667,7.16666666666667,3,Mon,0
2016-09-13,10.2333333333333,2016,9,09-13,3.06666666666667,7.16666666666667,3,Tue,0
2016-09-14,10.2333333333333,2016,9,09-14,3.06666666666667,7.16666666666667,3,Wed,0
2016-09-15,10.2333333333333,2016,9,09-15,3.06666666666667,7.16666666666667,3,Thu,0
2016-09-16,10.2333333333333,2016,9,09-16,3.06666666666667,7.16666666666667,3,Fri,0
2016-09-17,10.2333333333333,2016,9,09-17,3.06666666666667,7.16666666666667,3,Sat,1
2016-09-18,10.2333333333333,2016,9,09-18,3.06666666666667,7.16666666666667,3,Sun,1
2016-09-19,10.2333333333333,2016,9,09-19,3.06666666666667,7.16666666666667,3,Mon,0
2016-09-20,10.2333333333333,2016,9,09-20,3.06666666666667,7.16666666666667,3,Tue,0
2016-09-21,10.2333333333333,2016,9,09-21,3.06666666666667,7.16666666666667,3,Wed,0
2016-09-22,10.2333333333333,2016,9,09-22,3.06666666666667,7.16666666666667,3,Thu,0
2016-09-23,10.2333333333333,2016,9,09-23,3.06666666666667,7.16666666666667,3,Fri,0
2016-09-24,10.2333333333333,2016,9,09-24,3.06666666666667,7.16666666666667,3,Sat,1
2016-09-25,10.2333333333333,2016,9,09-25,3.06666666666667,7.16666666666667,3,Sun,1
2016-09-26,10.2333333333333,2016,9,09-26,3.06666666666667,7.16666666666667,3,Mon,0
2016-09-27,10.2333333333333,2016,9,09-27,3.06666666666667,7.16666666666667,3,Tue,0
2016-09-28,10.2333333333333,2016,9,09-28,3.06666666666667,7.16666666666667,3,Wed,0
2016-09-29,10.2333333333333,2016,9,09-29,3.06666666666667,7.16666666666667,3,Thu,0
2016-09-30,10.2333333333333,2016,9,09-30,3.06666666666667,7.16666666666667,3,Fri,0
2016-10-01,10.6451612903226,2016,10,10-01,2.45161290322581,8.19354838709677,3,Sat,1
2016-10-02,10.6451612903226,2016,10,10-02,2.45161290322581,8.19354838709677,3,Sun,1
2016-10-03,10.6451612903226,2016,10,10-03,2.45161290322581,8.19354838709677,3,Mon,0
2016-10-04,10.6451612903226,2016,10,10-04,2.45161290322581,8.19354838709677,3,Tue,0
2016-10-05,10.6451612903226,2016,10,10-05,2.45161290322581,8.19354838709677,3,Wed,0
2016-10-06,10.6451612903226,2016,10,10-06,2.45161290322581,8.19354838709677,3,Thu,0
2016-10-07,10.6451612903226,2016,10,10-07,2.45161290322581,8.19354838709677,3,Fri,0
2016-10-08,10.6451612903226,2016,10,10-08,2.45161290322581,8.19354838709677,3,Sat,1
2016-10-09,10.6451612903226,2016,10,10-09,2.45161290322581,8.19354838709677,3,Sun,1
2016-10-10,10.6451612903226,2016,10,10-10,2.45161290322581,8.19354838709677,3,Mon,0
2016-10-11,10.6451612903226,2016,10,10-11,2.45161290322581,8.19354838709677,3,Tue,0
2016-10-12,10.6451612903226,2016,10,10-12,2.45161290322581,8.19354838709677,3,Wed,0
